#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=35.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:134 out:135 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:163 misc:317 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:140 out:136 type:P dur:2 cpbdur:2 q:41.03 aq:28.23 tex:145 mv:285 misc:346 imb:11 pmb:20 smb:3569 d:t ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:7 mv:101 misc:284 imb:1 pmb:10 smb:3589 d:t ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:50 misc:251 imb:0 pmb:4 smb:3596 d:t ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:207 misc:321 imb:0 pmb:34 smb:3566 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:216 misc:312 imb:0 pmb:35 smb:3565 d:- ref:0 ;
in:146 out:141 type:P dur:2 cpbdur:2 q:41.03 aq:23.09 tex:30 mv:255 misc:331 imb:10 pmb:18 smb:3572 d:t ref:0 ;
in:143 out:142 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:3 mv:38 misc:287 imb:0 pmb:10 smb:3590 d:t ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:1 mv:98 misc:269 imb:0 pmb:10 smb:3590 d:t ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:37 misc:270 imb:0 pmb:10 smb:3590 d:t ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:215 misc:314 imb:1 pmb:26 smb:3573 d:- ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:162 misc:326 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:149 out:147 type:P dur:2 cpbdur:2 q:41.03 aq:26.00 tex:24 mv:265 misc:335 imb:10 pmb:19 smb:3571 d:t ref:0 ;
in:147 out:148 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:3 mv:63 misc:278 imb:0 pmb:6 smb:3594 d:t ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:10 mv:204 misc:314 imb:0 pmb:29 smb:3571 d:- ref:0 ;
